tvmonitor;0.990261;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.015468
tvmonitor;0.991248;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.119802
tvmonitor;0.994993;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.219529
tvmonitor;0.994506;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.321455
tvmonitor;0.990010;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.422333
tvmonitor;0.995266;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.524956
tvmonitor;0.990917;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.627475
tvmonitor;0.994297;1.966022:0.572021:0.000000;0.641060:0.000000:0.000000:-0.767491;29.730743
tvmonitor;0.993417;1.968827:0.606341:0.000000;0.583389:0.000000:0.000000:-0.812193;29.833116
tvmonitor:tvmonitor;0.996130:0.833642;1.968827:0.606341:0.000000;0.583389:0.000000:0.000000:-0.812193;29.933427
tvmonitor:tvmonitor;0.989699:0.774215;1.968827:0.606341:0.000000;0.583389:0.000000:0.000000:-0.812193;30.035431
tvmonitor;0.989129;1.968827:0.606341:0.000000;0.583389:0.000000:0.000000:-0.812193;30.136745
chair:tvmonitor;0.830721:0.993015;1.968827:0.606341:0.000000;0.583389:0.000000:0.000000:-0.812193;30.238456
chair:tvmonitor;0.915725:0.992196;1.964782:0.610648:0.000000;0.536166:0.000000:0.000000:-0.844113;30.339237
chair:tvmonitor;0.943659:0.985992;1.964782:0.610648:0.000000;0.536166:0.000000:0.000000:-0.844113;30.440576
chair:tvmonitor;0.956809:0.985873;1.964782:0.610648:0.000000;0.536166:0.000000:0.000000:-0.844113;30.542657
chair:tvmonitor;0.981093:0.987432;1.960452:0.605435:0.000000;0.485588:0.000000:0.000000:-0.874188;30.646666
chair:chair:tvmonitor;0.937606:0.809266:0.987329;1.960452:0.605435:0.000000;0.485588:0.000000:0.000000:-0.874188;30.747107
chair:chair:tvmonitor;0.946811:0.765073:0.977359;1.960452:0.605435:0.000000;0.485588:0.000000:0.000000:-0.874188;30.850080
chair:tvmonitor;0.954374:0.980168;1.960452:0.605435:0.000000;0.485588:0.000000:0.000000:-0.874188;30.952629
chair:tvmonitor;0.813968:0.977689;1.960452:0.605435:0.000000;0.485588:0.000000:0.000000:-0.874188;31.053209
chair:tvmonitor;0.975184:0.959571;1.960007:0.602387:0.000000;0.434844:0.000000:0.000000:-0.900506;31.155104
chair:tvmonitor;0.976429:0.971718;1.960007:0.602387:0.000000;0.434844:0.000000:0.000000:-0.900506;31.257315
chair:tvmonitor;0.898008:0.968720;1.958261:0.611149:0.000000;0.384976:0.000000:0.000000:-0.922927;31.359898
chair:tvmonitor;0.983123:0.962000;1.958261:0.611149:0.000000;0.384976:0.000000:0.000000:-0.922927;31.461628
